      16       8       1       9       2       3
      20      18      16      11       9       3
      19      10       1      17       8      16
      20      28      37      18      26      16
       7      13      20       5      11       3
      20      13       7      22      15      24
       6      12      19      14      21      23
      19      12       6      10       4       1
      97      92      84      86      79      73
      44      52      59      56      67      72
      59      70      83      67      78      72
      83      70      59      76      63      65
      19      29      40      21      31      23
      40      42      44      31      33      23
      44      42      40      52      48      59
      59      48      40      63      53      65
      65      61      58      74      69      82
      84      71      60      79      68      73
     115     111     106     116     112     117
     106     101      95     112     108     117
      95     101     106      88      93      82
      83      91      96      78      85      72
      96      91      83     104      98     109
      83      89      94      98     102     109
      94     107     115     102     113     109
     115     107      94     111     100     106
     106     100      94      93      87      82
      94      80      65      87      74      82
      94      89      83      80      76      65
      35      38      40      27      29      19
      58      46      35      47      36      37
      40      38      35      53      50      65
      35      46      58      50      61      65
      35      27      19      25      17      16
      37      36      35      26      25      16
      60      55      45      68      57      73
      41      30      20      32      22      24
      45      43      41      34      32      24
      41      43      45      49      55      60
      41      39      37      30      28      20
      66      64      60      77      71      84
      58      62      66      69      75      82
      66      62      58      51      47      37
      66      81      95      75      88      82
      95      81      66      90      77      84
      41      54      66      39      51      37
      66      54      41      64      49      60
      95     103     110     108     114     117
      97     105     110      92      99      84
     110     103      95      99      90      84
