       5         1         2
       7         5         2
       6         1         5
       7        11         5
       4         7         2
       7         4         9
       3         6         8
       6         3         1
      29        25        22
      14        17        21
      17        24        21
      24        17        19
       6        12         8
      12        14         8
      14        12        17
      17        12        19
      19        16        23
      25        18        22
      33        30        34
      30        27        34
      27        30        23
      24        28        21
      28        24        31
      24        26        31
      26        33        31
      33        26        30
      30        26        23
      26        19        23
      26        24        19
      10        12         6
      16        10        11
      12        10        19
      10        16        19
      10         6         5
      11        10         5
      18        15        22
      13         7         9
      15        13         9
      13        15        18
      13        11         7
      20        18        25
      16        20        23
      20        16        11
      20        27        23
      27        20        25
      13        20        11
      20        13        18
      27        32        34
      29        32        25
      32        27        25
       1        35         2
       4         2        36
       4        37         9
       3         8        38
       3        39         1
      29        22        40
      14        21        41
      14        42         8
      33        34        43
      28        44        21
      28        31        45
      33        46        31
      15        47        22
      15         9        48
      32        49        34
      29        50        32
