      51         2         3
       1         5         4
       1        34         8
      35         2        40
       2        52         6
      53        37         5
      13        54         8
      55         3         7
      18        56        49
      11        57        15
      22        10        12
      16        29        11
      14         7        30
      58        13        15
      16        10        14
      32        12        15
      42        28        33
      36         9        41
      20        59        26
      48        19        21
      27        44        20
      60        11        23
      24        61        22
      25        23        29
      62        24        26
      27        19        25
      28        21        26
      17        27        29
      12        28        24
      13        34        32
      35        43        33
      33        16        30
      17        32        31
       3        35        30
      34         4        31
      63        18        39
       6        38        40
      37        64        39
      36        47        38
       4        37        46
      18        45        47
      44        17        43
      31        46        42
      21        42        45
      41        50        44
      43        40        47
      39        41        46
      65        20        50
      50         9        66
      45        49        48
       1        -1        -1
       5        -1        -1
       6        -1        -1
       7        -1        -1
       8        -1        -1
       9        -1        -1
      10        -1        -1
      14        -1        -1
      19        -1        -1
      22        -1        -1
      23        -1        -1
      25        -1        -1
      36        -1        -1
      38        -1        -1
      48        -1        -1
      49        -1        -1
