      40        45        39
      45        56        53
      39        31        28
      46        53        57
      56        59        66
      73        70        66
      14        11        18
      25        28        18
      78        82        76
       4         1         5
       6         4        12
      16        19        12
       9        14        17
       3         9         7
      13         5         7
      20        16        13
      42        33        32
      80        78        72
      48        44        36
      54        48        50
      43        49        50
       2         6         8
      15        10         8
      22        15        21
      23        22        30
      35        36        30
      34        43        35
      33        34        26
      19        26        21
      17        27        24
      41        47        38
      29        20        24
      32        29        38
      31        37        27
      37        46        41
      83        80        79
      70        74        67
      74        81        77
      79        71        77
      57        67        60
      72        65        68
      52        42        51
      47        55        51
      49        52        58
      65        63        58
      55        60        64
      71        68        64
      61        54        62
      69        76        75
      63        69        62
      40        -1        -1
      59        -1        -1
      73        -1        -1
      11        -1        -1
      25        -1        -1
      82        -1        -1
       1        -1        -1
       3        -1        -1
      44        -1        -1
       2        -1        -1
      10        -1        -1
      23        -1        -1
      83        -1        -1
      81        -1        -1
      61        -1        -1
      75        -1        -1
