       2         8         1
       6         8         2
       8         6        11
       3         6         2
       6         3         7
      29        28        22
       6        12        11
      12         6         7
      26        19        22
      26        28        27
      28        26        22
      19        17        22
      12        17        11
      17        12        18
      14         8        11
      17        14        11
      14        17        19
       3         4         7
      29        23        30
      23        29        22
      17        23        22
      23        17        18
       4        10         7
      16        10        15
      12        13        18
      13        10        16
      13        12         7
      10        13         7
       9         4         5
       9        10         4
      10         9        15
      13        20        18
      20        13        16
      24        20        16
      21        16        15
      21        24        16
      33        32        24
      33        21        34
      21        33        24
      23        25        30
      25        20        24
      32        25        24
      25        23        18
      20        25        18
      25        31        30
      31        25        32
       1        35         2
       8        36         1
       3         2        37
      29        38        28
      26        39        19
      27        40        26
      28        41        27
      14        42         8
      14        19        43
       3        44         4
      29        30        45
       5        46         9
       4        47         5
       9        48        15
      21        15        49
      33        50        32
      34        51        33
      21        52        34
      31        53        30
      31        32        54
