       1        48
      15        54
      55        17
       9        51
      52        10
      10        11
      10        53
       9        12
      11         9
      15         3
      16        15
      16        17
      12        17
       1        47
       1         2
       3         2
       6        11
      12        21
      13        16
       6        50
      20         6
       3         7
       4         2
      21        20
      21        22
       7        13
      14        13
      20        19
      22        14
       8         7
      57        19
      49         4
       5         4
      19        40
      43        22
       8         5
      14        25
      43        40
      27         8
      45        65
      40        45
      44        43
      25        27
       5        18
      25        32
      32        44
      45        46
      28        27
      41        44
      18        56
      66        46
      46        42
      33        32
      18        23
      23        28
      42        41
      28        26
      34        41
      33        26
      34        33
      37        42
      30        23
      37        62
      26        24
      36        34
      39        37
      29        59
      29        30
      31        30
      24        31
      36        39
      35        24
      35        36
      39        38
      38        63
      58        29
      31        60
      61        35
      38        64
