      48        47         2
       1         4         3
       7        15         2
       2        49         5
      18         8         4
      11        20        50
      13         3         8
       5        27         7
      12        11        51
      53        52        11
       9         6        10
      21         9        17
      16         7        14
      25        22        13
       3        16        54
      15        13        17
      12        55        16
      23         5        56
      40        57        20
       6        21        19
      20        12        22
      14        43        21
      28        18        30
      31        35        26
      32        14        27
      24        33        28
       8        28        25
      27        23        26
      59        58        30
      23        29        31
      60        24        30
      44        25        33
      26        34        32
      33        36        41
      24        61        36
      34        35        39
      42        39        62
      64        63        39
      37        36        38
      45        19        43
      34        42        44
      41        37        46
      22        44        40
      43        32        41
      65        40        46
      42        66        45
       1        -1        -1
       1        -1        -1
       4        -1        -1
       6        -1        -1
       9        -1        -1
      10        -1        -1
      10        -1        -1
      15        -1        -1
      17        -1        -1
      18        -1        -1
      19        -1        -1
      29        -1        -1
      29        -1        -1
      31        -1        -1
      35        -1        -1
      37        -1        -1
      38        -1        -1
      38        -1        -1
      45        -1        -1
      46        -1        -1
